data,produkt,kategoria,liczba_sztuk,cena_jednostkowa
2026-02-21,Lampa,Dom,4,129
2026-02-18,Mysz,Elektronika,5,79.9
2026-02-06,Lampa,Dom,5,129
2026-02-24,Klawiatura,Elektronika,8,149.9
2026-02-13,Lampa,Dom,8,129
2026-02-18,Mysz,Elektronika,7,79.9
2026-02-21,Lampa,Dom,8,129
2026-02-15,Klawiatura,Elektronika,4,149.9
2026-02-16,Mysz,Elektronika,6,79.9
2026-02-07,Długopis,Biuro,6,5.5
2026-02-01,Lampa,Dom,7,129
2026-02-27,Klawiatura,Elektronika,6,149.9
2026-02-06,Lampa,Dom,4,129
2026-02-11,Lampa,Dom,6,129
2026-03-25,Mysz,Elektronika,4,79.9
2026-03-14,Słuchawki,Elektronika,6,219
2026-03-19,Kubek,Dom,2,29.9
2026-03-04,Lampa,Dom,1,129
2026-03-19,Mysz,Elektronika,3,79.9
2026-03-15,Kubek,Dom,8,29.9
2026-03-17,Długopis,Biuro,3,5.5
2026-03-18,Lampa,Dom,8,129
2026-03-01,Kubek,Dom,5,29.9
2026-03-06,Słuchawki,Elektronika,1,219
2026-03-15,Długopis,Biuro,6,5.5
2026-03-11,Długopis,Biuro,4,5.5
2026-03-09,Klawiatura,Elektronika,2,149.9
2026-03-22,Lampa,Dom,1,129
2026-03-04,Klawiatura,Elektronika,8,149.9
2026-03-10,Notes,Biuro,4,19.9
2026-03-04,Długopis,Biuro,1,5.5
2026-03-18,Kubek,Dom,4,29.9
2026-03-21,Długopis,Biuro,1,5.5
2026-03-13,Długopis,Biuro,2,5.5
2026-03-02,Kubek,Dom,1,29.9
2026-03-18,Mysz,Elektronika,5,79.9
2026-03-12,Słuchawki,Elektronika,6,219
2026-03-19,Lampa,Dom,7,129
2026-03-01,Kubek,Dom,6,29.9
2026-03-25,Klawiatura,Elektronika,1,149.9
2026-03-24,Notes,Biuro,5,19.9
2026-03-11,Słuchawki,Elektronika,2,219
2026-03-05,Słuchawki,Elektronika,4,219
2026-03-27,Kubek,Dom,5,29.9
2026-04-04,Kubek,Dom,5,29.9
2026-04-03,Mysz,Elektronika,7,79.9
2026-04-22,Słuchawki,Elektronika,4,219
2026-04-12,Kubek,Dom,3,29.9
2026-04-17,Mysz,Elektronika,3,79.9
2026-04-10,Długopis,Biuro,2,5.5
2026-04-15,Kubek,Dom,7,29.9
2026-04-17,Długopis,Biuro,3,5.5
2026-04-18,Notes,Biuro,3,19.9
2026-04-19,Mysz,Elektronika,6,79.9
2026-04-26,Kubek,Dom,5,29.9
2026-04-03,Kubek,Dom,4,29.9
2026-04-23,Mysz,Elektronika,3,79.9
2026-04-08,Długopis,Biuro,7,5.5
2026-04-11,Lampa,Dom,8,129
2026-04-17,Długopis,Biuro,3,5.5
2026-04-08,Słuchawki,Elektronika,8,219
2026-04-17,Słuchawki,Elektronika,4,219
2026-04-01,Słuchawki,Elektronika,2,219
2026-04-16,Słuchawki,Elektronika,2,219
2026-04-03,Kubek,Dom,7,29.9
2026-04-06,Mysz,Elektronika,2,79.9
2026-04-03,Słuchawki,Elektronika,5,219
2026-04-25,Słuchawki,Elektronika,8,219
2026-04-05,Słuchawki,Elektronika,3,219
2026-04-09,Notes,Biuro,5,19.9
2026-04-28,Kubek,Dom,6,29.9
2026-04-17,Lampa,Dom,3,129
2026-04-04,Kubek,Dom,5,29.9
2026-04-07,Mysz,Elektronika,4,79.9
2026-05-28,Lampa,Dom,6,129
2026-05-24,Długopis,Biuro,7,5.5
2026-05-09,Kubek,Dom,2,29.9
2026-05-13,Słuchawki,Elektronika,4,219
2026-05-01,Słuchawki,Elektronika,1,219
2026-05-19,Długopis,Biuro,1,5.5
2026-05-22,Słuchawki,Elektronika,8,219
2026-05-14,Kubek,Dom,5,29.9
2026-05-10,Notes,Biuro,8,19.9
2026-05-06,Długopis,Biuro,7,5.5
2026-05-07,Mysz,Elektronika,4,79.9
2026-05-12,Długopis,Biuro,4,5.5
2026-05-25,Mysz,Elektronika,7,79.9
2026-05-15,Klawiatura,Elektronika,4,149.9
2026-05-24,Słuchawki,Elektronika,3,219
2026-05-16,Lampa,Dom,8,129
2026-05-21,Długopis,Biuro,2,5.5
2026-05-08,Mysz,Elektronika,7,79.9
2026-05-13,Długopis,Biuro,4,5.5
2026-05-13,Notes,Biuro,7,19.9
2026-05-11,Kubek,Dom,4,29.9
2026-05-13,Słuchawki,Elektronika,4,219
2026-05-06,Długopis,Biuro,8,5.5
2026-05-16,Klawiatura,Elektronika,2,149.9
2026-05-28,Kubek,Dom,8,29.9
2026-05-06,Klawiatura,Elektronika,8,149.9
2026-05-09,Klawiatura,Elektronika,8,149.9
2026-05-07,Mysz,Elektronika,3,79.9
2026-05-05,Słuchawki,Elektronika,1,219
2026-05-04,Długopis,Biuro,5,5.5
2026-06-02,Kubek,Dom,2,29.9
2026-06-28,Słuchawki,Elektronika,5,219
2026-06-10,Lampa,Dom,7,129
2026-06-09,Lampa,Dom,1,129
2026-06-21,Długopis,Biuro,1,5.5
2026-06-18,Notes,Biuro,5,19.9
2026-06-20,Lampa,Dom,2,129
2026-06-02,Notes,Biuro,5,19.9
2026-06-20,Słuchawki,Elektronika,6,219
2026-06-07,Kubek,Dom,2,29.9
2026-06-12,Klawiatura,Elektronika,6,149.9
2026-06-15,Kubek,Dom,6,29.9
2026-06-25,Długopis,Biuro,8,5.5
2026-06-08,Słuchawki,Elektronika,1,219
2026-06-26,Lampa,Dom,2,129
2026-06-17,Słuchawki,Elektronika,3,219
2026-06-13,Długopis,Biuro,2,5.5
2026-06-18,Lampa,Dom,2,129
2026-06-23,Klawiatura,Elektronika,7,149.9
2026-06-22,Klawiatura,Elektronika,8,149.9
2026-06-21,Mysz,Elektronika,4,79.9
2026-06-26,Lampa,Dom,8,129
2026-06-22,Klawiatura,Elektronika,5,149.9
2026-06-19,Klawiatura,Elektronika,2,149.9
2026-06-04,Długopis,Biuro,3,5.5
2026-06-08,Kubek,Dom,5,29.9
2026-06-21,Długopis,Biuro,5,5.5
2026-06-20,Słuchawki,Elektronika,6,219
2026-06-01,Lampa,Dom,7,129
2026-06-13,Klawiatura,Elektronika,1,149.9
